acronym,definition
1,Publ 1: Your Rights As A Taxpayer
1015,Notc 1015: Have You Told Your Employees About the Earned Income Credit (EIC)?
1016,Notc 1016: How to Stop Interest on Your Account
1020,Publ 1020: Appeal Procedures Employee Plans Examinations
1023,Form 1023: Application for Recognition of Exemption Under Section 501(c)(3) of the Internal Revenue Code
1023-EZ,Form 1023-EZ: Streamlined Application for Recognition of Exemption Under Section 501(c)(3) of the Internal Revenue Code
1023-Interactive,"Form 1023-Interactive: Interactive version of Form 1023, Application for Recognition of Exemption Under Section 501(c)(3) of the Internal Revenue Code"
1024,Form 1024: Application for Recognition of Exemption Under Section 501(a)
1024,Publ 1024: How to Prepare Application for Certificate of Nonattachment of Federal Tax Lien
1024-A,Form 1024-A: Application for Recognition of Exemption Under Section 501(c)(4) of the Internal Revenue Code
1027,Notc 1027: How to Prepare Media Label for Form W-4
1028,Form 1028: Application for Recognition of Exemption Under Section 521 of the Internal Revenue Code
10301,Form 10301: CD Encryption Code Authorization For CP2100 972CG Notices
1035,Publ 1035: Extending the Tax Assessment Period
1036,Notc 1036: Early Release Copies of the Percentage Method Tables for Income Tax Withholding
1040,Form 1040: U.S. Individual Income Tax Return
1040-C,Form 1040-C: U.S. Departing Alien Income Tax Return
1040-ES,Form 1040-ES: Estimated Tax for Individuals
1040-NR,Form 1040-NR: U.S. Nonresident Alien Income Tax Return
1040-SR,Form 1040-SR: U.S. Tax Return for Seniors
1040-SS,Form 1040-SS: U.S. Self-Employment Tax Return (Including the Additional Child Tax Credit for Bona Fide Residents of Puerto Rico)
1040-V,Form 1040-V: Payment Voucher
1040-X,Form 1040-X: Amended U.S. Individual Income Tax Return
1041,Form 1041: U.S. Income Tax Return for Estates and Trusts
1041-A,Form 1041-A: U.S. Information Return Trust Accumulation of Charitable Amounts
1041-ES,Form 1041-ES: Estimated Income Tax for Estates and Trusts
1041-N,Form 1041-N: U.S. Income Tax Return for Electing Alaska Native Settlement Trusts
1041-QFT,Form 1041-QFT: U.S. Income Tax Return for Qualified Funeral Trusts
1041-T,Form 1041-T: Allocation of Estimated Tax Payments to Beneficiaries
1041-V,Form 1041-V: Payment Voucher
1042,Form 1042: Annual Withholding Tax Return for U.S. Source Income of Foreign Persons
1042-S,Form 1042-S: Foreign Person's U.S. Source Income Subject to Withholding
1042-T,Form 1042-T: Annual Summary and Transmittal of Forms 1042-S
1045,Form 1045: Application for Tentative Refund
1065,Form 1065: U.S. Return of Partnership Income
1065-X,Form 1065-X: Amended Return or Administrative Adjustment Request (AAR)
1066,Form 1066: U.S. Real Estate Mortgage Investment Conduit (REMIC) Income Tax Return
1075,"Publ 1075: Tax Information Security Guidelines for Federal, State and Local Agencies"
10837,Form 10837: Request for Weather and Safety Leave Due to Emergency Conditions
1084,Publ 1084: VITA/TCE IRS Volunteer Site Coordinator Handbook
1094-B,Form 1094-B: Transmittal of Health Coverage Information Returns
1094-C,Form 1094-C: Transmittal of Employer-Provided Health Insurance Offer and Coverage Information Returns
1095-A,Form 1095-A: Health Insurance Marketplace Statement
1095-B,Form 1095-B: Health Coverage
1095-C,Form 1095-C: Employer-Provided Health Insurance Offer and Coverage
1096,Form 1096: Annual Summary and Transmittal of U.S. Information Returns (Info Copy Only)
1097-BTC,Form 1097-BTC: Bond Tax Credit
1098,Form 1098: Mortgage Interest Statement (Info Copy Only)
1098-C,"Form 1098-C: Contributions of Motor Vehicles, Boats, and Airplanes (Info Copy Only)"
1098-E,Form 1098-E: Student Loan Interest Statement (Info Copy Only)
1098-F,"Form 1098-F: Fines, Penalties and Other Amounts"
1098-MA,Form 1098-MA: Mortgage Assistance Payments
1098-Q,Form 1098-Q: Qualifying Longevity Annuity Contract Information (Info Copy Only)
1098-T,Form 1098-T: Tuition Statement (Info Copy Only)
1099-A,Form 1099-A: Acquisition or Abandonment of Secured Property (Info Copy Only)
1099-B,Form 1099-B: Proceeds from Broker and Barter Exchange Transactions (Info Copy Only)
1099-C,Form 1099-C: Cancellation of Debt (Info Copy Only)
1099-CAP,Form 1099-CAP: Changes in Corporate Control and Capital Structure (Info Copy Only)
1099-DIV,Form 1099-DIV: Dividends and Distributions (Info Copy Only)
1099-G,Form 1099-G: Certain Government Payments (Info Copy Only)
1099-H,Form 1099-H: Health Coverage Tax Credit (HCTC) Advance Payments
1099-INT,Form 1099-INT: Interest Income (Info Copy Only)
1099-K,Form 1099-K: Payment Card and Third Party Network Transactions
1099-LS,Form 1099-LS: Reportable Life Insurance Sale
1099-LTC,Form 1099-LTC: Long Term Care and Accelerated Death Benefits
1099-MISC,Form 1099-MISC: Miscellaneous Income (Info Copy Only)
1099-NEC,Form 1099-NEC: Nonemployee Compensation
1099-OID,Form 1099-OID: Original Issue Discount (Info Copy Only)
1099-PATR,Form 1099-PATR: Taxable Distributions Received From Cooperatives (Info Copy Only)
1099-Q,Form 1099-Q: Payments from Qualified Education Programs (Under Sections 529 and 530) (Info Copy Only)
1099-QA,Form 1099-QA: Distributions from ABLE Accounts
1099-R,"Form 1099-R: Distributions From Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contracts, etc. (Info Copy Only)"
1099-S,Form 1099-S: Proceeds from Real Estate Transactions (Info Copy Only)
1099-SA,"Form 1099-SA: Distributions From an HSA, Archer MSA, or Medicare Advantage MSA"
1099-SB,Form 1099-SB: Seller's Investment in Life Insurance Contract
11-C,Form 11-C: Occupational Tax and Registration Return for Wagering
1101,Publ 1101: Application Package and Guidelines for Managing a TCE Program
1116,"Form 1116: Foreign Tax Credit (Individual, Estate, or Trust)"
1117,Form 1117: Income Tax Surety Bond
1118,Form 1118: Foreign Tax Credit - Corporations
1120,Form 1120: U.S. Corporation Income Tax Return
1120-C,Form 1120-C: U.S. Income Tax Return for Cooperative Associations
1120-F,Form 1120-F: U.S. Income Tax Return of a Foreign Corporation
"1120-F Schedules M-1, M-2","Form 1120-F Schedules M-1, M-2: Reconciliation of Income (Loss) and Analysis of Unappropriated Retained Earnings per Books"
1120-FSC,Form 1120-FSC: U.S. Income Tax Return of a Foreign Sales Corporation
1120-H,Form 1120-H: U.S. Income Tax Return for Homeowners Associations
1120-IC-DISC,Form 1120-IC-DISC: Interest Charge Domestic International Sales Corporation Return
1120-L,Form 1120-L: U.S. Life Insurance Company Income Tax Return
1120-ND,Form 1120-ND: Return for Nuclear Decommissioning Funds and Certain Related Persons
1120-PC,Form 1120-PC: U.S. Property and Casualty Insurance Company Income Tax Return
1120-POL,Form 1120-POL: U.S. Income Tax Return for Certain Political Organizations
1120-REIT,Form 1120-REIT: U.S. Income Tax Return for Real Estate Investment Trusts
1120-RIC,Form 1120-RIC: U.S. Income Tax Return for Regulated Investment Companies
1120-S,Form 1120-S: U.S. Income Tax Return for an S Corporation
1120-SF,Form 1120-SF: U.S. Income Tax Return for Settlement Funds (Under Section 468B)
1120-W,Form 1120-W: Estimated Tax for Corporations
1120-X,Form 1120-X: Amended U.S. Corporation Income Tax Return
1122,Form 1122: Authorization and Consent of Subsidiary Corporation to be Included in a Consolidated Income Tax Return
1125-A,Form 1125-A: Cost of Goods Sold
1125-E,Form 1125-E: Compensation of Officers
1127,Form 1127: Application for Extension of Time for Payment of Tax Due to Undue Hardship
1128,"Form 1128: Application to Adopt, Change or Retain a Tax Year"
1136,Publ 1136: Statistics of Income Bulletin
1138,Form 1138: Extension of Time For Payment of Taxes By a Corporation Expecting a Net Operating Loss Carryback
1139,Form 1139: Corporation Application for Tentative Refund
1141,Publ 1141: General Rules and Specifications for Substitute Forms W-2 and W-3
11433,"Publ 11433: Employee Benefit Plans: Explanation No. 13, Section 401(h) and Section 420 Determination of Qualification"
1153,Publ 1153: How to Apply for a Certificate of Subordination of Federal Estate Tax Lien Under Section 6325(d)(3) of the Internal Revenue Code
1155 ,Notc 1155 : Disaster Relief from the IRS
1167,Publ 1167: General Rules and Specifications for Substitute Tax Forms and Schedules
1179,"Publ 1179: General Rules and Specifications for Substitute Forms 1096, 1098, 1099, 5498, and Certain Other Information Returns"
1187,"Publ 1187: Specifications for Electronic Filing of Form 1042-S, Foreign Person's U.S. Source Income Subject to Withholding"
12009,Form 12009: Request for an Informal Conference and Appeals Review
1212,Publ 1212: Guide to Original Issue Discount (OID) Instruments
1214,Notc 1214: Helpful Contacts for Your Notice of Deficiency
1215,Notc 1215: What to do If You Disagree with the Penalty
12153,Form 12153: Request for a Collection Due Process or Equivalent Hearing
1220,"Publ 1220: Specifications for Electronic Filing of Forms 1097, 1098, 1099, 3921, 3922, 5498, and W-2G"
12203,Form 12203: Request for Appeals Review
12203-A,Form 12203-A: Request for Appeal
1223,Publ 1223: General Rules and Specifications For Substitute Forms W-2c and W-3c
12256,Form 12256: Withdrawal of Request for Collection Due Process or Equivalent Hearing
12257,"Form 12257: Summary Notice of Determination, Waiver of Right to Judicial Review of a Collection Due Process Determination, Waiver of Suspension of Levy Action, and Waiver of Periods of Limitation in Section 6330("
12277,"Form 12277: Application for Withdrawal of Filed Form 668(Y), Notice of Federal Tax Lien (Internal Revenue Code Section 6323(j))"
12339,Form 12339: Internal Revenue Service Advisory Council Membership Application
12339-B,Form 12339-B: Information Reporting Program Advisory Committee Membership Application
12339-C,Form 12339-C: Advisory Committee on Tax Exempt and Government Entities Membership Application
1239,"Publ 1239: Specifications for Filing Form 8027, Employer's Annual Information Return of Tip Income and Allocated Tips"
1244,Publ 1244: Employee's Daily Record of Tips and Report to Employer
12451,Form 12451: Request for Relocation Expenses Allowance
12508,Form 12508: Questionnaire for Non-Requesting Spouse
12509,Form 12509: Innocent Spouse Statement of Disagreement
12661,Form 12661: Disputed Issue Verification
12673,Form 12673: Agreement to Bid
1281,Publ 1281: Backup Withholding for Missing and Incorrect Name/TINs (including instructions for reading tape cartridges and CD/DVD formats)
1304,Publ 1304: Individual Income Tax Returns (Statistics of Income)
13072,Form 13072: Victim Witness Assistance Brochure
1310,Form 1310: Statement of Person Claiming Refund Due a Deceased Taxpayer
13206,Form 13206: Volunteer Assistance Summary Report
